Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2674,2674,2674,2674,2674,1338
3293,3293,3293,3293,3293,1776
3516,3516,3516,3516,3516,7844
507,507,507,507,507,1788
1777,1777,1777,1777,1777,5185
1795,1795,1795,1795,1795,1451
3140,3140,3140,3140,3140,545
3321,3321,3321,3321,3321,2566
1716,1716,1716,1716,1716,750
7425,7425,7425,7425,7425,2098
5977,5977,5977,5977,5977,1744
549,549,549,549,549,497
3881,3881,3881,3881,3881,2931
6707,6707,6707,6707,6707,602
5058,5058,5058,5058,5058,2168
964,964,964,964,964,412
4508,4508,4508,4508,4508,1080
370,370,370,370,370,4478
2767,2767,2767,2767,2767,3181
2518,2518,2518,2518,2518,501
2518,2518,2518,2518,2518,501
2259,2259,2259,2259,2259,2124
375,375,375,375,375,569
2381,2381,2381,2381,2381,4334
4337,4337,4337,4337,4337,16523
4482,4482,4482,4482,4482,5778
4003,4003,4003,4003,4003,57
242,242,242,242,242,833
100,100,100,100,100,518
8604,8604,8604,8604,8604,5206
1107,1107,1107,1107,1107,823
2134,2134,2134,2134,2134,2963
820,820,820,820,820,985
918,918,918,918,918,405
361,361,361,361,361,1083
483,483,483,483,483,395
4239,4239,4239,4239,4239,436
862,862,862,862,862,4626
6506,6506,6506,6506,6506,714
6956,6956,6956,6956,6956,433
212,212,212,212,212,2916
212,212,212,212,212,2916
1145,1145,1145,1145,1145,5864
2575,2575,2575,2575,2575,2802
6899,6899,6899,6899,6899,46
9529,9529,9529,9529,9529,72
4618,4618,4618,4618,4618,65
7353,7353,7353,7353,7353,4985
6792,6792,6792,6792,6792,1452
24171,24171,24171,24171,24171,6465
5121,5121,5121,5121,5121,1476
13583,13583,13583,13583,13583,1163
609,609,609,609,609,2162
1538,1538,1538,1538,1538,301
2587,2587,2587,2587,2587,1278
5611,5611,5611,5611,5611,224
204,204,204,204,204,1333
2024,2024,2024,2024,2024,1130
17740,17740,17740,17740,17740,1340
7572,7572,7572,7572,7572,1282
227,227,227,227,227,436
3084,3084,3084,3084,3084,1603
3084,3084,3084,3084,3084,1603
4095,4095,4095,4095,4095,225
26701,26701,26701,26701,26701,2017
4074,4074,4074,4074,4074,964
7677,7677,7677,7677,7677,1295
1247,1247,1247,1247,1247,1145
24231,24231,24231,24231,24231,1423
3468,3468,3468,3468,3468,27
5141,5141,5141,5141,5141,834
788,788,788,788,788,3095
656,656,656,656,656,144
116,116,116,116,116,1365
4173,4173,4173,4173,4173,14472
1321,1321,1321,1321,1321,181
764,764,764,764,764,648
1901,1901,1901,1901,1901,1780
3,3,3,3,3,975
529,529,529,529,529,894
12034,12034,12034,12034,12034,1009
301,301,301,301,301,167
1202,1202,1202,1202,1202,1653
1202,1202,1202,1202,1202,1653
610,610,610,610,610,529
7818,7818,7818,7818,7818,156
3537,3537,3537,3537,3537,2342
550,550,550,550,550,772
3837,3837,3837,3837,3837,120
40827,40827,40827,40827,40827,2944
20070,20070,20070,20070,20070,903
1579,1579,1579,1579,1579,14351
165,165,165,165,165,46
454,454,454,454,454,3178
69,69,69,69,69,360
627,627,627,627,627,1117
18906,18906,18906,18906,18906,5130
71,71,71,71,71,2698
5038,5038,5038,5038,5038,244
223,223,223,223,223,709
3874,3874,3874,3874,3874,217
54,54,54,54,54,63
56,56,56,56,56,132
215,215,215,215,215,323
215,215,215,215,215,323
8035,8035,8035,8035,8035,3029
6766,6766,6766,6766,6766,1838
4573,4573,4573,4573,4573,1386
1480,1480,1480,1480,1480,2498
1491,1491,1491,1491,1491,548
139,139,139,139,139,1378
6830,6830,6830,6830,6830,1831
8969,8969,8969,8969,8969,1438
2505,2505,2505,2505,2505,1236
836,836,836,836,836,3
169,169,169,169,169,1647
6457,6457,6457,6457,6457,1519
483,483,483,483,483,2708
585,585,585,585,585,1561
118,118,118,118,118,1266
276,276,276,276,276,610
310,310,310,310,310,222
319,319,319,319,319,1160
411,411,411,411,411,933
266,266,266,266,266,635
266,266,266,266,266,635
174,174,174,174,174,1136
264,264,264,264,264,255
25,25,25,25,25,860
1976,1976,1976,1976,1976,143
500,500,500,500,500,1621
778,778,778,778,778,918
349,349,349,349,349,483
2386,2386,2386,2386,2386,2749
1062,1062,1062,1062,1062,3
410,410,410,410,410,1819
395,395,395,395,395,911
70,70,70,70,70,310
955,955,955,955,955,328
256,256,256,256,256,396
47,47,47,47,47,537
199,199,199,199,199,326
2447,2447,2447,2447,2447,1542
721,721,721,721,721,36
249,249,249,249,249,3271
637,637,637,637,637,929
637,637,637,637,637,929
960,960,960,960,960,2616
51,51,51,51,51,1450
20,20,20,20,20,3
399,399,399,399,399,318
516,516,516,516,516,201
12591,12591,12591,12591,12591,4430
73,73,73,73,73,520
1082,1082,1082,1082,1082,526
283,283,283,283,283,434
113,113,113,113,113,1440
170,170,170,170,170,1067
255,255,255,255,255,1774
352,352,352,352,352,184
302,302,302,302,302,1627
7,7,7,7,7,8
11577,11577,11577,11577,11577,2153
6694,6694,6694,6694,6694,3182
811,811,811,811,811,418
4004,4004,4004,4004,4004,1682
8077,8077,8077,8077,8077,303
8077,8077,8077,8077,8077,303
4424,4424,4424,4424,4424,2157
3,3,3,3,3,2233
232,232,232,232,232,610
13726,13726,13726,13726,13726,446
3674,3674,3674,3674,3674,238
7108,7108,7108,7108,7108,2379
4973,4973,4973,4973,4973,3637
1680,1680,1680,1680,1680,693
79,79,79,79,79,429
69,69,69,69,69,750
7015,7015,7015,7015,7015,323
8773,8773,8773,8773,8773,6250
2840,2840,2840,2840,2840,707
9836,9836,9836,9836,9836,716
153,153,153,153,153,1442
4196,4196,4196,4196,4196,1697
1532,1532,1532,1532,1532,230
20,20,20,20,20,2631
120,120,120,120,120,395
273,273,273,273,273,2165
273,273,273,273,273,2165
1382,1382,1382,1382,1382,2794
4948,4948,4948,4948,4948,8550
6907,6907,6907,6907,6907,156
239,239,239,239,239,47943
334,334,334,334,334,11
58,58,58,58,58,247
949,949,949,949,949,727
3459,3459,3459,3459,3459,3
6839,6839,6839,6839,6839,404
4027,4027,4027,4027,4027,1856
118,118,118,118,118,64
43,43,43,43,43,84
187,187,187,187,187,409
5618,5618,5618,5618,5618,666
355,355,355,355,355,1142
330,330,330,330,330,1755
763,763,763,763,763,2876
4314,4314,4314,4314,4314,1468
592,592,592,592,592,697
402,402,402,402,402,347
402,402,402,402,402,347
9959,9959,9959,9959,9959,731
14235,14235,14235,14235,14235,1681
284,284,284,284,284,6854
954,954,954,954,954,18
5,5,5,5,5,1328
9265,9265,9265,9265,9265,710
288,288,288,288,288,285
5316,5316,5316,5316,5316,120
3381,3381,3381,3381,3381,806
12420,12420,12420,12420,12420,797
244,244,244,244,244,2100
19410,19410,19410,19410,19410,2870
240,240,240,240,240,1775
3961,3961,3961,3961,3961,1215
5957,5957,5957,5957,5957,791
5828,5828,5828,5828,5828,2388
13308,13308,13308,13308,13308,674
130,130,130,130,130,1158
4797,4797,4797,4797,4797,6372
86,86,86,86,86,130
86,86,86,86,86,130
56,56,56,56,56,749
4167,4167,4167,4167,4167,239
256,256,256,256,256,375
788,788,788,788,788,1360
70,70,70,70,70,659
761,761,761,761,761,786
2568,2568,2568,2568,2568,1553
263,263,263,263,263,689
4762,4762,4762,4762,4762,203
694,694,694,694,694,980
955,955,955,955,955,2137
1566,1566,1566,1566,1566,490
284,284,284,284,284,834
409,409,409,409,409,7
325,325,325,325,325,2563
1216,1216,1216,1216,1216,295
415,415,415,415,415,225
28,28,28,28,28,1215
72,72,72,72,72,216
828,828,828,828,828,2253
828,828,828,828,828,2253
343,343,343,343,343,2564
412,412,412,412,412,1047
586,586,586,586,586,578
1682,1682,1682,1682,1682,2398
3143,3143,3143,3143,3143,1970
8933,8933,8933,8933,8933,2784
430,430,430,430,430,610
44,44,44,44,44,659
562,562,562,562,562,572
918,918,918,918,918,291
234,234,234,234,234,710
18594,18594,18594,18594,18594,5121
205,205,205,205,205,1693
363,363,363,363,363,1391
1547,1547,1547,1547,1547,3265
111,111,111,111,111,615
392,392,392,392,392,373
3593,3593,3593,3593,3593,987
730,730,730,730,730,3321
967,967,967,967,967,818
967,967,967,967,967,818
780,780,780,780,780,548
49,49,49,49,49,287
429,429,429,429,429,655
2894,2894,2894,2894,2894,411
5980,5980,5980,5980,5980,1265
830,830,830,830,830,3636
4882,4882,4882,4882,4882,2563
737,737,737,737,737,3628
6374,6374,6374,6374,6374,698
333,333,333,333,333,204
197,197,197,197,197,56
147,147,147,147,147,1550
93,93,93,93,93,1040
210,210,210,210,210,1824
759,759,759,759,759,1153
96,96,96,96,96,379
603,603,603,603,603,2503
621,621,621,621,621,139
274,274,274,274,274,1409
3620,3620,3620,3620,3620,1721
3620,3620,3620,3620,3620,1721
167,167,167,167,167,1104
2328,2328,2328,2328,2328,2079
1041,1041,1041,1041,1041,1404
314,314,314,314,314,1384
751,751,751,751,751,2406
436,436,436,436,436,18
1226,1226,1226,1226,1226,128
386,386,386,386,386,1027
445,445,445,445,445,258
32,32,32,32,32,22
965,965,965,965,965,1522
212,212,212,212,212,686
825,825,825,825,825,1060
5952,5952,5952,5952,5952,741
811,811,811,811,811,1854
2208,2208,2208,2208,2208,254
710,710,710,710,710,898
3712,3712,3712,3712,3712,531
4538,4538,4538,4538,4538,1037
290,290,290,290,290,259
290,290,290,290,290,259
2662,2662,2662,2662,2662,2005
8752,8752,8752,8752,8752,172
6236,6236,6236,6236,6236,555
10069,10069,10069,10069,10069,59
11783,11783,11783,11783,11783,2410
3909,3909,3909,3909,3909,211
7558,7558,7558,7558,7558,1543
351,351,351,351,351,925
257,257,257,257,257,656
6846,6846,6846,6846,6846,806
299,299,299,299,299,1117
371,371,371,371,371,117
17120,17120,17120,17120,17120,142
183,183,183,183,183,297
857,857,857,857,857,1233
3891,3891,3891,3891,3891,3508
83,83,83,83,83,1059
821,821,821,821,821,1637
706,706,706,706,706,51
12408,12408,12408,12408,12408,1625
12408,12408,12408,12408,12408,1625
275,275,275,275,275,834
228,228,228,228,228,1113
1470,1470,1470,1470,1470,229
1679,1679,1679,1679,1679,573
140,140,140,140,140,1092
1272,1272,1272,1272,1272,5609
387,387,387,387,387,834
88,88,88,88,88,522
210,210,210,210,210,1534
492,492,492,492,492,739
182,182,182,182,182,1043
9606,9606,9606,9606,9606,1102
178,178,178,178,178,2602
38102,38102,38102,38102,38102,1215
332,332,332,332,332,3486
4111,4111,4111,4111,4111,2139
146,146,146,146,146,778
442,442,442,442,442,868
15,15,15,15,15,550
573,573,573,573,573,1942
573,573,573,573,573,1942
7271,7271,7271,7271,7271,1371
5162,5162,5162,5162,5162,2158
4595,4595,4595,4595,4595,1328
15469,15469,15469,15469,15469,37
217,217,217,217,217,379
3843,3843,3843,3843,3843,303
6600,6600,6600,6600,6600,1115
4621,4621,4621,4621,4621,1022
1184,1184,1184,1184,1184,665
12218,12218,12218,12218,12218,445
173,173,173,173,173,995
12638,12638,12638,12638,12638,3137
90,90,90,90,90,195
8682,8682,8682,8682,8682,1111
1333,1333,1333,1333,1333,2341
184,184,184,184,184,127
9,9,9,9,9,548
6747,6747,6747,6747,6747,110
536,536,536,536,536,4100
232,232,232,232,232,776
232,232,232,232,232,776
468,468,468,468,468,503
159,159,159,159,159,405
179,179,179,179,179,712
1335,1335,1335,1335,1335,314
514,514,514,514,514,468
4515,4515,4515,4515,4515,3105
222,222,222,222,222,447
252,252,252,252,252,342
101,101,101,101,101,558
41,41,41,41,41,296
523,523,523,523,523,2235
716,716,716,716,716,790
397,397,397,397,397,4829
1916,1916,1916,1916,1916,3113
311,311,311,311,311,686
476,476,476,476,476,70
4666,4666,4666,4666,4666,1426
96,96,96,96,96,1242
68,68,68,68,68,1114
813,813,813,813,813,179
813,813,813,813,813,179
600,600,600,600,600,270
246,246,246,246,246,532
1711,1711,1711,1711,1711,2893
397,397,397,397,397,361
282,282,282,282,282,5120
192,192,192,192,192,1068
353,353,353,353,353,967
231,231,231,231,231,961
200,200,200,200,200,406
227,227,227,227,227,684
311,311,311,311,311,1000
95,95,95,95,95,1827
122,122,122,122,122,654
385,385,385,385,385,819
149,149,149,149,149,452
841,841,841,841,841,290
3378,3378,3378,3378,3378,2213
64,64,64,64,64,743
74,74,74,74,74,247
469,469,469,469,469,375
469,469,469,469,469,375
153,153,153,153,153,1014
92,92,92,92,92,1902
10,10,10,10,10,340
632,632,632,632,632,288
914,914,914,914,914,715
593,593,593,593,593,378
1092,1092,1092,1092,1092,960
7883,7883,7883,7883,7883,553
2730,2730,2730,2730,2730,344
2123,2123,2123,2123,2123,5137
1860,1860,1860,1860,1860,1892
235,235,235,235,235,4365
2970,2970,2970,2970,2970,62
912,912,912,912,912,2435
1135,1135,1135,1135,1135,290
3540,3540,3540,3540,3540,1874
6728,6728,6728,6728,6728,993
3485,3485,3485,3485,3485,1063
6740,6740,6740,6740,6740,776
1580,1580,1580,1580,1580,1521
1580,1580,1580,1580,1580,1521
6818,6818,6818,6818,6818,1393
3415,3415,3415,3415,3415,1784
948,948,948,948,948,1218
1803,1803,1803,1803,1803,668
3213,3213,3213,3213,3213,249
108,108,108,108,108,1886
5079,5079,5079,5079,5079,1894
439,439,439,439,439,1163
850,850,850,850,850,317
84,84,84,84,84,2501
241,241,241,241,241,2080
1377,1377,1377,1377,1377,1498
1328,1328,1328,1328,1328,395
356,356,356,356,356,1449
2371,2371,2371,2371,2371,838
182,182,182,182,182,2204
93,93,93,93,93,2346
14841,14841,14841,14841,14841,1867
168,168,168,168,168,2125
477,477,477,477,477,52
477,477,477,477,477,52
